shot_quadrant,pitch_quadrant,bowler_hand,bowler_type,shot type,runs
7,14,0,1,13,2
7,14,0,1,13,2
7,14,0,1,13,1
7,14,0,1,13,1
7,18,0,1,13,4
7,5,0,1,12,4
7,6,0,1,12,1
7,6,0,1,12,1
7,6,0,1,12,1
7,10,0,1,12,1
7,10,0,1,12,2
7,10,0,1,12,2
7,14,0,1,13,2
7,14,0,1,13,2
7,14,0,1,13,2
7,18,0,1,13,2
7,18,0,1,13,2
7,1,0,1,12,2
7,1,0,1,12,2
7,6,1,2,12,2
7,6,1,2,12,1
7,6,1,2,12,1
7,6,1,2,12,1
7,6,1,2,12,1
7,6,1,2,12,1
7,9,1,2,12,4
7,13,1,2,13,4
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,14,0,2,13,1
7,14,0,2,13,1
7,14,0,2,13,4
7,14,0,2,13,4
7,14,0,2,13,1
7,10,0,2,12,1
7,10,0,2,12,1
7,10,0,2,12,1
7,1,0,2,12,1
7,6,0,2,12,1
7,6,0,2,12,1
7,6,0,2,12,1
7,6,0,2,12,1
7,14,0,2,13,6
7,14,0,2,13,6
7,6,1,3,12,2
7,6,1,3,12,2
7,6,1,3,12,1
7,6,1,3,12,1
7,6,1,3,12,1
7,14,0,3,13,1
7,14,0,3,13,1
7,10,0,3,12,1
7,10,0,3,12,1
7,14,0,3,13,4
7,5,1,1,12,6
7,5,1,1,12,6
7,18,0,1,13,6
7,17,1,2,13,6
7,17,1,1,13,4
7,5,1,1,12,4
7,5,1,1,12,4
7,5,0,1,12,4
7,2,0,1,12,1
7,2,0,1,12,1
7,2,0,1,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,2,1,1,12,1
7,2,1,1,12,1
7,2,1,1,12,1
7,2,1,1,12,2
8,18,1,1,15,4
8,10,1,1,14,2
8,10,1,1,14,2
8,14,1,1,14,2
8,1,1,1,14,4
8,2,1,1,14,1
8,2,0,1,14,1
8,1,0,1,14,2
8,18,0,1,15,6
8,18,0,1,15,2
8,14,0,1,14,2
8,14,0,1,14,1
8,1,1,1,14,1
8,5,1,1,14,1
8,10,1,1,14,2
8,18,1,1,15,4
8,10,1,1,14,2
8,10,1,1,14,1
8,10,1,1,14,2
8,10,1,1,14,1
8,18,1,1,15,1
8,1,0,1,14,1
8,18,0,1,15,6
8,1,0,1,14,4
8,1,0,1,14,4
8,18,0,1,15,4
8,2,0,1,14,1
8,1,1,1,14,4
8,1,1,1,14,4
8,18,1,1,15,4
8,10,1,2,14,1
8,10,1,2,14,1
8,10,1,2,14,1
8,10,1,2,14,1
8,5,1,2,14,4
8,9,1,2,14,4
8,14,1,2,14,1
8,14,0,2,14,1
8,14,0,2,14,4
8,14,0,2,14,4
8,14,1,3,14,4
8,14,1,3,14,1
8,14,0,3,14,1
8,14,1,3,14,1
8,5,0,3,14,4
8,5,0,3,14,4
8,1,1,3,14,4
8,2,1,3,14,1
8,2,1,3,14,1
8,2,0,3,14,1
